file,point_index,series,x_px,y_px,rssi,rssi_float,area
5.PNG,59,yellow,1042.5,1017.5,-73,-72.98,440
5.PNG,60,yellow,1056.5,977.5,-71,-70.97,440
5.PNG,61,blue,1070.5,938.5,-69,-69.01,448
6.PNG,1,yellow,257.5,938.3,-79,-78.99,431
6.PNG,2,yellow,264.5,958.3,-80,-80.01,415
6.PNG,3,yellow,270.5,977.9,-81,-80.99,424
6.PNG,4,yellow,288.5,958.5,-80,-80.01,440
6.PNG,5,yellow,304.5,938.5,-79,-79.01,440
6.PNG,6,yellow,317.5,997.5,-82,-81.98,440
6.PNG,7,yellow,329.5,878.5,-76,-75.99,356
6.PNG,8,yellow,344.5,878.5,-76,-75.99,312
6.PNG,9,yellow,360.0,878.5,-76,-75.99,376
6.PNG,10,yellow,385.5,1156.5,-90,-89.99,440
6.PNG,11,yellow,398.5,997.5,-82,-81.98,441
6.PNG,12,yellow,412.5,958.5,-80,-80.01,440
6.PNG,13,yellow,425.5,977.5,-81,-80.97,441
6.PNG,14,yellow,439.5,1017.5,-83,-82.99,440
6.PNG,15,yellow,452.5,838.5,-74,-73.97,440
6.PNG,16,yellow,465.5,779.5,-71,-71.0,440
6.PNG,17,yellow,480.5,898.5,-77,-76.99,440
6.PNG,18,yellow,489.5,858.5,-75,-74.98,440
6.PNG,19,yellow,505.5,938.5,-79,-79.01,440
6.PNG,20,yellow,519.5,1017.5,-83,-82.99,440
6.PNG,21,yellow,533.5,838.5,-74,-73.97,440
6.PNG,22,yellow,544.6,1017.5,-83,-82.99,358
6.PNG,23,yellow,560.5,1017.5,-83,-82.99,360
6.PNG,24,yellow,573.5,958.5,-80,-80.01,439
6.PNG,25,yellow,585.5,977.6,-81,-80.98,436
6.PNG,26,yellow,597.5,958.5,-80,-80.01,438
6.PNG,27,yellow,611.0,898.5,-77,-76.99,376
6.PNG,28,yellow,628.0,898.5,-77,-76.99,376
6.PNG,29,yellow,641.5,878.5,-76,-75.99,440
6.PNG,30,yellow,653.5,1077.5,-86,-86.01,440
6.PNG,31,yellow,664.5,898.5,-77,-76.99,440
6.PNG,32,yellow,676.5,1017.5,-83,-82.99,440
6.PNG,33,yellow,694.5,1077.5,-86,-86.01,440
6.PNG,34,yellow,707.5,1196.5,-92,-92.0,440
6.PNG,35,yellow,719.5,878.5,-76,-75.98,441
6.PNG,36,yellow,732.5,1017.5,-83,-82.99,440
6.PNG,37,yellow,747.5,1037.5,-84,-83.99,440
6.PNG,38,yellow,759.5,1017.5,-83,-82.99,442
6.PNG,39,yellow,774.5,1057.5,-85,-85.0,440
6.PNG,40,yellow,787.5,997.5,-82,-81.98,440
6.PNG,41,yellow,795.0,938.5,-79,-79.01,376
6.PNG,42,yellow,812.6,938.5,-79,-79.01,396
