file,point_index,series,x_px,y_px,rssi,rssi_float,area
5.PNG,30,blue,645.5,846.5,-68,-68.02,448
5.PNG,31,yellow,658.5,1037.5,-80,-80.01,440
5.PNG,32,yellow,671.5,989.5,-77,-77.0,440
5.PNG,33,yellow,682.5,910.5,-72,-72.04,356
5.PNG,34,yellow,699.0,910.5,-72,-72.04,376
5.PNG,35,blue,710.5,846.5,-68,-68.02,448
5.PNG,36,yellow,722.5,894.5,-71,-71.04,440
5.PNG,37,blue,738.3,814.3,-66,-66.0,435
5.PNG,38,blue,751.7,830.7,-67,-67.03,435
5.PNG,39,yellow,761.5,1021.5,-79,-79.01,440
5.PNG,40,yellow,777.5,958.5,-75,-75.05,438
5.PNG,41,yellow,792.7,973.7,-76,-76.01,429
5.PNG,42,yellow,804.6,910.5,-72,-72.04,358
5.PNG,43,yellow,820.4,910.5,-72,-72.04,358
5.PNG,44,blue,832.3,878.7,-70,-70.05,435
5.PNG,45,blue,846.6,862.4,-69,-69.02,443
5.PNG,46,blue,858.5,830.5,-67,-67.02,448
5.PNG,47,blue,871.9,878.5,-70,-70.03,382
5.PNG,48,blue,888.5,878.5,-70,-70.03,363
5.PNG,49,yellow,898.0,910.5,-72,-72.04,377
5.PNG,50,yellow,915.0,910.5,-72,-72.04,376
5.PNG,51,yellow,921.5,1037.5,-80,-80.01,440
5.PNG,52,yellow,938.5,1005.5,-78,-78.01,440
5.PNG,53,blue,954.5,862.5,-69,-69.03,448
5.PNG,54,yellow,962.5,973.5,-76,-76.0,440
5.PNG,55,yellow,979.5,1037.5,-80,-80.01,440
5.PNG,56,yellow,993.5,1069.5,-82,-82.02,440
5.PNG,57,yellow,1003.5,989.5,-77,-77.0,440
5.PNG,58,yellow,1024.5,1069.5,-82,-82.02,628
5.PNG,59,yellow,1048.3,957.7,-75,-75.0,407
5.PNG,60,yellow,1057.5,974.1,-76,-76.04,395
5.PNG,61,yellow,1070.7,989.7,-77,-77.01,429
6.PNG,1,yellow,257.5,898.5,-77,-76.99,439
6.PNG,2,yellow,268.5,878.5,-76,-75.98,439
6.PNG,3,yellow,281.5,818.5,-73,-72.96,440
6.PNG,4,yellow,293.5,878.5,-76,-75.99,440
6.PNG,5,yellow,305.5,1136.5,-89,-88.98,440
6.PNG,6,yellow,320.5,958.5,-80,-80.01,440
6.PNG,7,yellow,334.5,938.5,-79,-79.01,440
6.PNG,8,yellow,347.5,1017.5,-83,-82.99,440
6.PNG,9,yellow,361.5,1037.5,-84,-83.99,440
6.PNG,10,yellow,374.5,898.5,-77,-76.99,440
